,name,PC1,PC2,PC3,PC4,PC5,corDist,description,MaxDist,MeanDist,MaxDist/MeanDist,Gene_Symbol,Pfam,GOBiologicalProcess,SqrtOmega,logNumGOterms,Omega
209,NM_152426_1,14.60000548,0.909002819,-8.294404157,-1.450021504,2.991030379,0.155624927,"40672. Homo sapiens apolipoprotein B mRNA editing enzyme catalytic subunit 3D (APOBEC3D), mRNA",0.123443,0.086843586,1.421440604,APOBEC3D,PF08210,GO:0010529 [Name: negative regulation of transposition]; GO:0045087 [Name: innate immune response]; GO:0045869 [Name: negative regulation of single stranded viral RNA replication via double stranded DNA intermediate]; GO:0051607 [Name: defense response to virus]; GO:0070383 [Name: DNA cytosine deamination],1.142117175,1.791759469,1.304431641
226,NM_181773_1,10.32322225,-0.370081108,-5.021048481,-3.176074437,2.60836527,0.188546143,"42662. Homo sapiens apolipoprotein B mRNA editing enzyme catalytic subunit 3H (APOBEC3H), transcript variant SV-183, mRNA",0.0955643,0.066670086,1.433390973,APOBEC3H,PF08210,GO:0070383 [Name: DNA cytosine deamination]; GO:0045087 [Name: innate immune response]; GO:0045869 [Name: negative regulation of single stranded viral RNA replication via double stranded DNA intermediate]; GO:0048525 [Name: negative regulation of viral process]; GO:0009972 [Name: cytidine deamination]; GO:0010529 [Name: negative regulation of transposition]; GO:0051607 [Name: defense response to virus],1.142117175,2.079441542,1.304431641
241,NM_001037731_1,7.254155292,-0.730793086,-2.538876313,-3.381222432,0.878698794,0.21587734,"3206. Homo sapiens defensin beta 116 (DEFB116), mRNA",0.0375135,0.017467547,2.147611191,DEFB116,PF13841,GO:0042742 [Name: defense response to bacterium]; GO:0045087 [Name: innate immune response],1.139840588,1.098612289,1.299236566
246,NM_001281971_27,15.3180566,1.358469913,-2.854525572,4.286063256,-1.070417501,0.025519373,"15647. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 2 (KIR2DS4*003 allele), mRNA",0.153821,0.11064268,1.269287157,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.13423357,0.693147181,1.286485792
247,NM_001281971_23,15.29986138,1.36503429,-2.865410302,4.284290751,-1.079082542,0.024933844,"15647. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 2 (KIR2DS4*003 allele), mRNA",0.156337,0.11064268,1.286630537,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.134217379,0.693147181,1.286449063
249,NM_014508_1,12.86005667,1.595750921,-4.360309904,-1.031596552,1.231512214,0.079318728,"32063. Homo sapiens apolipoprotein B mRNA editing enzyme catalytic subunit 3C (APOBEC3C), mRNA",0.126719,0.084140283,1.506044385,APOBEC3C,PF08210,GO:0045071 [Name: negative regulation of viral genome replication]; GO:0051607 [Name: defense response to virus]; GO:0080111 [Name: DNA demethylation]; GO:0009972 [Name: cytidine deamination]; GO:0045087 [Name: innate immune response]; GO:0010529 [Name: negative regulation of transposition],1.133884333,1.945910149,1.285693682
254,NM_018643_1,10.29912702,-0.520304039,-2.982526577,-1.654590796,2.379700448,0.144477367,"34634. Homo sapiens triggering receptor expressed on myeloid cells 1 (TREM1), transcript variant 1, mRNA",0.0938505,0.059875091,1.567438109,TREM1,PF07686,GO:0002230 [Name: positive regulation of defense response to virus by host]; GO:0002374 [Name: cytokine secretion involved in immune response]; GO:0098792 [Name: xenophagy]; GO:0030593 [Name: neutrophil chemotaxis]; GO:0045087 [Name: innate immune response]; GO:0050755 [Name: chemokine metabolic process]; GO:0070945 [Name: neutrophil mediated killing of gram-negative bacterium]; GO:0072672 [Name: neutrophil extravasation]; GO:0098779 [Name: mitophagy in response to mitochondrial depolarization]; GO:0006959 [Name: humoral immune response]; GO:0035556 [Name: intracellular signal transduction]; GO:0050900 [Name: leukocyte migration]; GO:0050776 [Name: regulation of immune response],1.12756159,2.63905733,1.271395139
259,NM_012314_36,13.39512408,0.853568204,-2.446692554,3.454727102,-0.077566442,0.035508286,"31313. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 1, mRNA",0.156337,0.107864393,1.449384687,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.125694789,0.693147181,1.267188758
266,NM_001145_1,12.65057979,-1.05702895,-3.60721737,0.544636489,1.566246514,0.100125493,"7321. Homo sapiens angiogenin (ANG), transcript variant 1, mRNA",0.133377,0.074283678,1.795508837,ANG,PF00074,GO:0001556 [Name: oocyte maturation]; GO:0019732 [Name: antifungal humoral response]; GO:0034332 [Name: adherens junction organization]; GO:0042592 [Name: homeostatic process]; GO:0090501 [Name: RNA phosphodiester bond hydrolysis]; GO:0009303 [Name: rRNA transcription]; GO:0030041 [Name: actin filament polymerization]; GO:0042327 [Name: positive regulation of phosphorylation]; GO:0048662 [Name: negative regulation of smooth muscle cell proliferation]; GO:0050830 [Name: defense response to Gram-positive bacterium]; GO:0001890 [Name: placenta development]; GO:0001878 [Name: response to yeast]; GO:0006651 [Name: diacylglycerol biosynthetic process]; GO:0001541 [Name: ovarian follicle development]; GO:0001938 [Name: positive regulation of endothelial cell proliferation]; GO:0032148 [Name: activation of protein kinase B activity]; GO:0050714 [Name: positive regulation of protein secretion]; GO:0001525 [Name: angiogenesis]; GO:0001666 [Name: response to hypoxia]; GO:0009725 [Name: response to hormone]; GO:0016477 [Name: cell migration]; GO:0032431 [Name: activation of phospholipase A2 activity]; GO:0045087 [Name: innate immune response]; GO:0007154 [Name: cell communication]; GO:0007202 [Name: activation of phospholipase C activity]; GO:0017148 [Name: negative regulation of translation]; GO:0019731 [Name: antibacterial humoral response],1.119665908,3.33220451,1.253651746
277,NM_176891_1,5.995113528,-1.709926274,-1.217750746,-0.894117312,1.71989205,0.227061484,"42125. Homo sapiens interferon epsilon (IFNE), mRNA",0.0465216,0.02429204,1.915096456,IFNE,PF00143,GO:0002323 [Name: natural killer cell activation involved in immune response]; GO:0002250 [Name: adaptive immune response]; GO:0043330 [Name: response to exogenous dsRNA]; GO:0042742 [Name: defense response to bacterium]; GO:0006959 [Name: humoral immune response]; GO:0030183 [Name: B cell differentiation]; GO:0051607 [Name: defense response to virus]; GO:0019221 [Name: cytokine-mediated signaling pathway]; GO:0042100 [Name: B cell proliferation]; GO:0002286 [Name: T cell activation involved in immune response]; GO:0045087 [Name: innate immune response]; GO:0033141 [Name: positive regulation of peptidyl-serine phosphorylation of STAT protein],1.111042934,2.564949357,1.234416401
285,NM_012314_29,14.94758524,1.208221234,-2.553222005,4.255066895,-1.190430761,0.027091545,"31313. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 1, mRNA",0.146238,0.11064268,1.268967848,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.10805677,0.693147181,1.227789806
291,NM_001281971_15,12.68845393,0.448743262,-3.164450477,2.106976167,0.730080642,0.058376089,"15647. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 2 (KIR2DS4*003 allele), mRNA",0.151642,0.11064268,1.329528529,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.105369074,0.693147181,1.221840789
309,NM_001926_1,10.72435557,-0.75270634,-3.812666446,-1.942318318,1.92618584,0.140663823,"26094. Homo sapiens defensin alpha 6 (DEFA6), mRNA",0.101687,0.062968442,1.614888305,DEFA6,PF00323; PF00879,GO:0019731 [Name: antibacterial humoral response]; GO:0045087 [Name: innate immune response]; GO:0031640 [Name: killing of cells of other organism]; GO:0050832 [Name: defense response to fungus],1.097897494,1.609437912,1.205378906
312,NM_000574_1,10.26533546,-0.015372918,-2.346607815,0.149056091,1.693652507,0.105701743,"539. Homo sapiens CD55 molecule (Cromer blood group) (CD55), transcript variant 1, mRNA",0.0969499,0.056153749,1.726508043,CD55,PF00084,GO:2000516 [Name: positive regulation of CD4-positive. alpha-beta T cell activation]; GO:2000563 [Name: positive regulation of CD4-positive. alpha-beta T cell proliferation]; GO:0006958 [Name: complement activation. classical pathway]; GO:0031664 [Name: regulation of lipopolysaccharide-mediated signaling pathway]; GO:0030449 [Name: regulation of complement activation]; GO:0045916 [Name: negative regulation of complement activation]; GO:0007204 [Name: positive regulation of cytosolic calcium ion concentration]; GO:0046718 [Name: viral entry into host cell]; GO:0035743 [Name: CD4-positive. alpha-beta T cell cytokine production]; GO:0045087 [Name: innate immune response]; GO:0045730 [Name: respiratory burst]; GO:0006888 [Name: ER to Golgi vesicle-mediated transport],1.095221876,2.564949357,1.199510958
329,NM_020746_1,8.795322513,-1.889087674,-2.124012949,-0.018069356,2.683275285,0.171802111,"35365. Homo sapiens mitochondrial antiviral signaling protein (MAVS), transcript variant 1, mRNA",0.0545863,0.034190791,1.596520521,MAVS,PF16739,GO:0002218 [Name: activation of innate immune response]; GO:0032480 [Name: negative regulation of type I interferon production]; GO:0032757 [Name: positive regulation of interleukin-8 production]; GO:0051091 [Name: positive regulation of sequence-specific DNA binding transcription factor activity]; GO:0002230 [Name: positive regulation of defense response to virus by host]; GO:0001934 [Name: positive regulation of protein phosphorylation]; GO:0032727 [Name: positive regulation of interferon-alpha production]; GO:0033160 [Name: positive regulation of protein import into nucleus. translocation]; GO:0071660 [Name: positive regulation of IP-10 production]; GO:1900063 [Name: regulation of peroxisome organization]; GO:0039529 [Name: RIG-I signaling pathway]; GO:0060340 [Name: positive regulation of type I interferon-mediated signaling pathway]; GO:0071651 [Name: positive regulation of chemokine (C-C motif) ligand 5 production]; GO:0007165 [Name: signal transduction]; GO:0042742 [Name: defense response to bacterium]; GO:0042993 [Name: positive regulation of transcription factor import into nucleus]; GO:0043123 [Name: positive regulation of I-kappaB kinase/NF-kappaB signaling]; GO:0045071 [Name: negative regulation of viral genome replication]; GO:0045087 [Name: innate immune response]; GO:0045944 [Name: positive regulation of transcription from RNA polymerase II promoter]; GO:0032728 [Name: positive regulation of interferon-beta production]; GO:0051607 [Name: defense response to virus]; GO:0032760 [Name: positive regulation of tumor necrosis factor production]; GO:0071360 [Name: cellular response to exogenous dsRNA],1.087574893,3.218875825,1.182819148
348,NM_022892_2,8.495368418,-2.884390014,-2.038190583,0.979242,2.868582063,0.194605385,"36312. Homo sapiens NLR family apoptosis inhibitory protein (NAIP), transcript variant 2, mRNA",0.0493012,0.030385123,1.622544015,NAIP,PF00653,GO:0006915 [Name: apoptotic process]; GO:0043066 [Name: negative regulation of apoptotic process]; GO:0043154 [Name: negative regulation of cysteine-type endopeptidase activity involved in apoptotic process]; GO:0048678 [Name: response to axon injury]; GO:0043524 [Name: negative regulation of neuron apoptotic process]; GO:0045087 [Name: innate immune response]; GO:0009966 [Name: regulation of signal transduction]; GO:0043200 [Name: response to amino acid]; GO:0006954 [Name: inflammatory response]; GO:0007399 [Name: nervous system development]; GO:0016567 [Name: protein ubiquitination],1.079800645,2.48490665,1.165969434
351,NM_004536_2,8.504193327,-2.877946823,-2.0361043,0.976550984,2.864516112,0.194310972,"28517. Homo sapiens NLR family apoptosis inhibitory protein (NAIP), transcript variant 1, mRNA",0.0493653,0.030403295,1.623682552,NAIP,PF00653,GO:0006915 [Name: apoptotic process]; GO:0043066 [Name: negative regulation of apoptotic process]; GO:0043154 [Name: negative regulation of cysteine-type endopeptidase activity involved in apoptotic process]; GO:0048678 [Name: response to axon injury]; GO:0043524 [Name: negative regulation of neuron apoptotic process]; GO:0045087 [Name: innate immune response]; GO:0009966 [Name: regulation of signal transduction]; GO:0043200 [Name: response to amino acid]; GO:0006954 [Name: inflammatory response]; GO:0007399 [Name: nervous system development]; GO:0016567 [Name: protein ubiquitination],1.079273952,2.48490665,1.164832263
367,NM_001206567_1,9.440033314,-0.473139641,-1.954234283,-0.588537634,2.526592668,0.145367202,"11705. Homo sapiens interferon gamma inducible protein 16 (IFI16), transcript variant 1, mRNA",0.0743612,0.037853663,1.964438692,IFI16,PF02760; PF02758,GO:0000122 [Name: negative regulation of transcription from RNA polymerase II promoter]; GO:0001819 [Name: positive regulation of cytokine production]; GO:0006954 [Name: inflammatory response]; GO:0030099 [Name: myeloid cell differentiation]; GO:0040029 [Name: regulation of gene expression. epigenetic]; GO:0045944 [Name: positive regulation of transcription from RNA polymerase II promoter]; GO:0071479 [Name: cellular response to ionizing radiation]; GO:0006351 [Name: transcription. DNA-templated]; GO:0008283 [Name: cell proliferation]; GO:0030224 [Name: monocyte differentiation]; GO:0045071 [Name: negative regulation of viral genome replication]; GO:0002218 [Name: activation of innate immune response]; GO:0045087 [Name: innate immune response]; GO:0045824 [Name: negative regulation of innate immune response]; GO:0051607 [Name: defense response to virus]; GO:0030097 [Name: hemopoiesis]; GO:0032481 [Name: positive regulation of type I interferon production]; GO:0042149 [Name: cellular response to glucose starvation]; GO:0042771 [Name: intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator]; GO:0045892 [Name: negative regulation of transcription. DNA-templated]; GO:0072332 [Name: intrinsic apoptotic signaling pathway by p53 class mediator]; GO:0097202 [Name: activation of cysteine-type endopeptidase activity]; GO:0010506 [Name: regulation of autophagy]; GO:0043392 [Name: negative regulation of DNA binding]; GO:2000117 [Name: negative regulation of cysteine-type endopeptidase activity]; GO:0006914 [Name: autophagy]; GO:0032731 [Name: positive regulation of interleukin-1 beta production],1.071360745,3.33220451,1.147813846
384,NM_138441_1,10.88642694,0.916549823,-1.207593043,0.134104062,1.822547623,0.100933097,"39534. Homo sapiens Mab-21 domain containing 1 (MB21D1), mRNA",0.0783322,0.053399497,1.466908951,MB21D1,PF03281,GO:0051607 [Name: defense response to virus]; GO:0045087 [Name: innate immune response]; GO:0071360 [Name: cellular response to exogenous dsRNA]; GO:0009190 [Name: cyclic nucleotide biosynthetic process]; GO:0002218 [Name: activation of innate immune response]; GO:0002230 [Name: positive regulation of defense response to virus by host]; GO:0032481 [Name: positive regulation of type I interferon production],1.063558356,2.079441542,1.131156377
400,NM_002260_1,16.76698298,3.59006203,-3.190007991,2.559277236,-1.648676625,0.032673603,"26414. Homo sapiens killer cell lectin like receptor C2 (KLRC2), mRNA",0.16046,0.082764625,2.081952283,KLRC2,PF00059,GO:0006968 [Name: cellular defense response]; GO:0002228 [Name: natural killer cell mediated immunity]; GO:0007165 [Name: signal transduction]; GO:0045087 [Name: innate immune response],1.058291064,1.609437912,1.119979977
419,NM_012314_16,12.93626546,1.465925705,-2.751476714,2.209842506,-0.11629361,0.036001498,"31313. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 1, mRNA",0.157611,0.11064268,1.340062844,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.050338329,0.693147181,1.103210605
422,NM_001193289_1,12.25544506,1.385722543,-3.04884206,-0.739592702,1.563319061,0.086773216,"10237. Homo sapiens APOBEC3A and APOBEC3B deletion hybrid (APOBEC3A_B), mRNA",0.143846,0.089430775,1.608461964,APOBEC3A_B,PF08210,GO:0045071 [Name: negative regulation of viral genome replication]; GO:0070383 [Name: DNA cytosine deamination]; GO:0044356 [Name: clearance of foreign intracellular DNA by conversion of DNA cytidine to uridine]; GO:0045087 [Name: innate immune response]; GO:0010529 [Name: negative regulation of transposition]; GO:0080111 [Name: DNA demethylation]; GO:0071466 [Name: cellular response to xenobiotic stimulus]; GO:0051607 [Name: defense response to virus],1.04915011,2.197224577,1.100715953
440,NM_001281971_17,14.57370111,5.044327974,-1.779166078,4.888143819,-2.44164201,0.009197245,"15647. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 2 (KIR2DS4*003 allele), mRNA",0.152949,0.11064268,1.22656284,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.044229717,0.693147181,1.090415702
441,NM_001281971_13,14.57370111,5.044327974,-1.779166078,4.888143819,-2.44164201,0.009197245,"15647. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 2 (KIR2DS4*003 allele), mRNA",0.152949,0.11064268,1.22656284,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.044229634,0.693147181,1.090415529
442,NM_001281971_19,14.57370111,5.044327974,-1.779166078,4.888143819,-2.44164201,0.009197245,"15647. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 2 (KIR2DS4*003 allele), mRNA",0.152949,0.11064268,1.22656284,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.044229634,0.693147181,1.090415529
443,NM_001281971_24,14.57370111,5.044327974,-1.779166078,4.888143819,-2.44164201,0.009197245,"15647. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 2 (KIR2DS4*003 allele), mRNA",0.152949,0.11064268,1.22656284,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.044229634,0.693147181,1.090415529
444,NM_001281971_21,14.57370111,5.044327974,-1.779166078,4.888143819,-2.44164201,0.009197245,"15647. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 2 (KIR2DS4*003 allele), mRNA",0.152949,0.11064268,1.22656284,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.044229626,0.693147181,1.090415511
445,NM_001281971_31,14.57370111,5.044327974,-1.779166078,4.888143819,-2.44164201,0.009197245,"15647. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 2 (KIR2DS4*003 allele), mRNA",0.152949,0.11064268,1.22656284,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.044229514,0.693147181,1.090415278
447,NM_001281971_16,14.66527213,5.110993713,-1.676591407,4.619681625,-2.191331222,0.009197245,"15647. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 2 (KIR2DS4*003 allele), mRNA",0.153076,0.11064268,1.227427998,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.043797559,0.693147181,1.089513345
448,NM_001281971_11,14.58323354,5.034351057,-1.779220825,4.872701077,-2.449691855,0.009197245,"15647. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 2 (KIR2DS4*003 allele), mRNA",0.152949,0.11064268,1.228385406,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.042954851,0.693147181,1.087754821
449,NM_001281971_32,14.58323354,5.034351057,-1.779220825,4.872701077,-2.449691855,0.009197245,"15647. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 2 (KIR2DS4*003 allele), mRNA",0.152949,0.11064268,1.228385406,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.042954851,0.693147181,1.087754821
451,NM_007028_2,4.718723295,-2.326886013,-1.149006655,-0.175858258,2.023708405,0.265964988,"30801. Homo sapiens tripartite motif containing 31 (TRIM31), transcript variant 1, mRNA",0.076752,0.042816088,1.792597209,TRIM31,PF00643,GO:0051091 [Name: positive regulation of sequence-specific DNA binding transcription factor activity]; GO:0046597 [Name: negative regulation of viral entry into host cell]; GO:1902186 [Name: regulation of viral release from host cell]; GO:0060333 [Name: interferon-gamma-mediated signaling pathway]; GO:0032897 [Name: negative regulation of viral transcription]; GO:0016567 [Name: protein ubiquitination]; GO:0045087 [Name: innate immune response],1.042250933,2.079441542,1.086287008
453,NM_001281971_30,14.5069332,5.068166005,-1.772452432,4.54428271,-2.165053382,0.009197245,"15647. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 2 (KIR2DS4*003 allele), mRNA",0.153076,0.11064268,1.23145075,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.041182735,0.693147181,1.084061487
454,NM_001281971_33,14.5069332,5.068166005,-1.772452432,4.54428271,-2.165053382,0.009197245,"15647. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 2 (KIR2DS4*003 allele), mRNA",0.153076,0.11064268,1.23145075,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.041182446,0.693147181,1.084060886
